CRUISEID,EXPOCODE,STNNBR,CASTNO,SAMPNO,DATE,TIME,ISO_DateTime_UTC,LATITUDE,LONGITUDE,BOTTOM_DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDS_FLAG_W,CTDOXY,CTDOXY_FLAG_W,FLOR,FLOR_FLAG_W,NOx,NOx_FLAG_W,NOx_stdev,NOx_STD_FLAG_W,NITRIT_BabLab,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TEMP,TA,TA_FLAG_W
FK180624,33FA20180624,16,1,23,12/7/18,16:51:10,2018-07-12T23:51:10Z,15.00206,-116.99612,4138,50.903,25.2581,34.192,2,199.743,2,0.7676,2,0,2,-999,9,0,2,0.252242152,2,0.008115325,2,8.036934,2,25,2268.18,6
FK180624,33FA20180624,19,1,21,13-07-2018,23:11:09,2018-07-14T06:11:09Z,17.99953,-119.00073,4000,80.813,18.9031,33.9934,2,198.824,2,1.2204,2,2.78,2,-999,9,0.063902543,2,0.421936206,2,0.013409675,2,7.891521,6,25,2269.19,2
FK180624,33FA20180624,10,1,20,10/7/18,8:12:40,2018-07-10T15:12:40Z,13.9998,-111.00016,3200,65.511,23.1781,34.171,2,124.244,2,0.6084,2,7.805333858,6,0.040145215,2,0.290935673,2,1.007874016,2,0.085800775,2,7.855408,2,25,2269.23,2
FK180624,33FA20180624,18,2,24,13-07-2018,16:06:21,2018-07-13T23:06:21Z,17.00033,-119.00178,4000,30.657,24.0588,34.0511,2,204.315,2,0.1098,2,0.49,2,-999,9,0,2,0.241186346,2,0.001627037,2,8.001469,2,25,2269.47,2
FK180624,33FA20180624,16,1,19,12/7/18,16:51:10,2018-07-12T23:51:10Z,15.0017,-116.99686,4138,90.438,18.2915,34.0238,2,176.422,2,0.7418,2,2.995532173,6,1.389889089,2,0.307543935,2,0.695067265,2,0.012231037,2,7.839765,2,25,2270.09,2
FK180624,33FA20180624,17,1,21,13-07-2018,3:06:57,2018-07-13T10:06:57Z,15.99692,-117.99722,4000,81.065,14.2644,34.2871,2,57.61,2,0.3757,2,19.12757602,6,0.205069305,2,0.078663565,2,1.983324069,2,0.007862097,2,7.552768,2,25,2270.58,2
FK180624,33FA20180624,18,1,23,13-07-2018,13:34:21,2018-07-13T20:34:21Z,17.0026,-119.00048,4000,68.168,20.5562,34.06,2,180.908,2,0.8477,2,2.342824975,2,-999,9,0.093810653,2,0.588136542,2,0.097362934,2,7.905871,2,25,2272.32,2
FK180624,33FA20180624,10,1,19,10/7/18,8:12:40,2018-07-10T15:12:40Z,13.99982,-111.00014,3200,75.986,21.8858,34.2442,2,102.808,2,0.4933,2,9.691277131,6,0.69826222,2,0.315998329,2,1.294713161,2,0.03620615,2,7.785636,2,25,2272.89,2
FK180624,33FA20180624,17,1,24,13-07-2018,3:06:57,2018-07-13T10:06:57Z,15.99666,-117.99668,4000,3.179,26.2895,34.1158,2,204.477,2,0.8413,2,0,2,-999,9,0.006766758,2,0.382434686,2,0.009549391,2,7.9951005,6,25,2273.07,2
FK180624,33FA20180624,17,1,22,13-07-2018,3:06:57,2018-07-13T10:06:57Z,15.99683,-117.99712,4000,49.833,22.153,34.1134,2,169.995,2,1.56,2,3.405679838,6,0.020073722,2,0.120955805,2,0.615897721,2,0.133657943,2,7.912946,2,25,2273.33,2
FK180624,33FA20180624,18,1,24,13-07-2018,13:34:21,2018-07-13T20:34:21Z,17.00256,-119.00076,4000,2.572,26.2852,34.06,2,197.335,2,0.0717,2,0,2,-999,9,0,2,0.297146055,2,0.016387589,2,8.017197,2,25,2273.93,2
FK180624,33FA20180624,9,9,20,9/7/18,21:55:54,2018-07-10T04:55:54Z,13.99974,-110.0005,3700,68.892,23.6003,34.1623,2,155.652,2,0.0615,2,4.31,6,0.127832287,2,0.223877509,2,0.717526943,2,0.420755845,2,7.910893,2,25,2274.01,2
FK180624,33FA20180624,14,1,20,11/7/18,20:43:59,2018-07-12T03:43:59Z,14.0014,-114.99456,4000,56.44,24.3848,34.2236,2,159.18,2,0.0857,2,5.555635127,6,0.087298362,2,0.629225278,2,0.651381215,2,0.137786662,2,7.9181585,6,25,2274.2,2
FK180624,33FA20180624,14,1,19,11/7/18,20:43:59,2018-07-12T03:43:59Z,14.00139,-114.99468,4000,63.73,22.403,34.3401,2,104.483,2,0.0822,2,13.26591048,6,0.229884949,2,1.338862062,2,1.28121547,2,0.137786662,2,7.765276,2,25,2274.41,2
FK180624,33FA20180624,11,1,23,10/7/18,16:33:57,2018-07-10T23:33:57Z,14.00044,-111.9991,4000,75.543,17.5041,34.1669,2,95.11,2,0.6097,2,9.008585166,6,0.92338415,2,0.474593919,2,1.433057851,2,0.016286322,2,7.680493,2,25,2274.45,2
FK180624,33FA20180624,16,1,17,12/7/18,16:51:10,2018-07-12T23:51:10Z,15.00164,-116.99702,4138,110.135,15.7115,34.4121,2,32.77,2,0.3767,2,17.97158534,6,1.262609868,2,0.026789541,2,2.225336323,2,0.007336816,2,7.528551,2,25,2274.57,2
FK180624,33FA20180624,5,1,21,5/7/18,5:34:12,2018-07-05T12:34:12Z,14.00018,-105.99962,3000,65.357,25.3877,34.2038,2,168.201,2,0.0963,2,2.298518095,6,0.038395543,2,0.366604284,6,0.556111111,6,0,6,7.958482,2,25,2275.48,2
FK180624,33FA20180624,18,2,19,13-07-2018,16:06:21,2018-07-13T23:06:21Z,17.00022,-119.00176,4000,109.762,13.0877,34.3644,2,41.27,2,0.1583,2,23.811,6,0.594,2,0.008287293,2,2.233351987,2,0.002127246,2,7.463115,2,25,2275.57,2
FK180624,33FA20180624,17,1,23,13-07-2018,3:06:57,2018-07-13T10:06:57Z,15.9967,-117.997,4000,28.617,23.3482,34.1062,2,199.057,2,3.6599,2,0,2,-999,9,0.042715162,2,0.376876042,2,0.046675416,2,7.975321,2,25,2275.76,6
FK180624,33FA20180624,16,1,20,12/7/18,16:51:10,2018-07-12T23:51:10Z,15.00178,-116.99671,4138,84.43,19.8958,34.1275,2,194.108,2,0.9014,2,2.189474857,6,1.377090456,2,0.024646378,2,0.448430493,2,0.032941821,2,7.908251,6,25,2276.6,2
FK180624,33FA20180624,18,2,23,13-07-2018,16:06:21,2018-07-13T23:06:21Z,17.0003,-119.00183,4000,49.047,22.6787,34.047,2,196.631,2,0.843,2,0.64,2,-999,9,0.008287293,2,0.313933968,2,0.047245926,2,7.964197,2,25,2277.58,2
FK180624,33FA20180624,18,2,22,13-07-2018,16:06:21,2018-07-13T23:06:21Z,17.00029,-119.00177,4000,85.54,16.0258,34.3329,2,51.27,2,0.4987,2,21.164,6,0.181,2,0.101784955,2,1.88080582,2,0.005695361,2,7.546623,2,25,2277.76,2
FK180624,33FA20180624,18,1,22,13-07-2018,13:34:21,2018-07-13T20:34:21Z,17.00256,-119.00054,4000,89.855,15.9886,34.3297,2,53.555,2,0.4609,2,18.45796963,6,0.036394113,2,0.106750054,2,1.998321209,2,0.005118679,2,7.561863,2,25,2278.21,2
FK180624,33FA20180624,9,1,20,6/7/18,11:54:22,2018-07-06T18:54:22Z,14.00076,-110.00056,3700,79.601,20.4226,34.3705,2,67.617,2,0.0435,2,15.48295316,6,0.311698697,2,0.19,2,1.65,2,0,2,7.694669,2,25,2280.09,2
FK180624,33FA20180624,12,2,21,11/7/18,3:38:51,2018-07-11T10:38:51Z,13.99943,-112.99796,4000,68.889,18.9885,34.5883,2,35.248,2,0.4392,2,25.38927038,6,0.414938746,2,0.098155738,6,1.957612939,6,0,6,7.59307,2,25,2280.2,2
FK180624,33FA20180624,2,1,23,30-06-2018,21:33:59,2018-07-01T04:33:59Z,13.99926,-102.99612,3000,41.289,27.0491,34.1903,2,199.053,2,0.0616,2,0,2,-999,9,0,2,0.285082873,2,0.005789745,2,8.042646,2,25,2280.28,2
FK180624,33FA20180624,19,1,19,13-07-2018,23:11:09,2018-07-14T06:11:09Z,17.99957,-119.00076,4000,99.344,16.1045,34.0636,2,118.538,2,0.6215,2,8.250171702,6,4.419538794,2,0.089549049,2,1.25573587,2,0.009009923,2,7.694677,2,25,2280.33,2
