,Depth,Date,Station,lat,lon,T,S,P,rho,sigma0,DIC,DIP,NO3,NO2,Nstar,TA,pH,O2
28,269.56,1642204800000000000,1,17.5,-107.5,10.7282,34.677,271.35,1027.7998445987985,26.584414799153592,2299.0,2.5520003343917104,19.61471399897852,0.3989103541458925,-17.918380997142954,2305.0,7.5086,0.97
29,269.68,1643155200000000000,2,17.5,-107.5,10.9836,34.7076,271.47,1027.7771592150743,26.56271421580891,2294.0,2.552056662853898,20.743796268329543,1.37189271755838,-15.817217619774441,2305.0,7.5219,0.74
30,279.19,1642204800000000000,1,17.5,-107.5,10.6417,34.6716,281.05,1027.855030786914,26.5957562035685,2300.0,2.5944606684312403,19.973633815152382,0.18485097052503421,-18.45288590922243,2306.0,7.5083,0.95
31,279.498,1643155200000000000,2,17.5,-107.5,10.8025,34.6995,281.36,1027.8487029647315,26.58905765592067,2296.0,2.5944766409043507,21.384470240221923,1.1091126512217009,-16.11804336302599,2306.0,7.5207,0.73
32,289.187,1643155200000000000,2,17.5,-107.5,10.6731,34.6925,291.12,1027.9108188652856,26.60680174940194,2297.0,2.5943198585745426,21.665303634593446,0.9533901015672016,-15.990424001032034,2306.0,7.5191,0.73
33,299.629,1643155200000000000,2,17.5,-107.5,10.5076,34.6847,301.64,1027.9821449140693,26.63007858111291,2298.0,2.65142647775301,22.18910135049741,0.6712178839036919,-16.66250440964706,2307.0,7.5197,0.7
34,309.605,1643155200000000000,2,17.5,-107.5,10.3126,34.673,311.69,1028.0534310047506,26.655140513179504,2299.0,2.6512426256081434,22.654464542020847,0.573900132236681,-16.29151733547277,2308.0,7.5193,0.69
35,319.064,1643155200000000000,2,17.5,-107.5,10.1972,34.6648,321.22,1028.1106138355133,26.66890082840837,2300.0,2.65109516525093,22.818556373500634,0.6711340109853127,-16.027832259528935,2308.0,7.5192,0.68
36,328.87,1643155200000000000,2,17.5,-107.5,10.0194,34.6481,331.1,1028.1737047466356,26.686493249580508,2302.0,2.74444472430225,23.478523024422827,0.408491287086064,-17.124101277327107,2308.0,7.5162,0.68
37,339.539,1643155200000000000,2,17.5,-107.5,9.8422,34.6441,341.85,1028.250235896515,26.713589194856695,2303.0,2.744240459325497,23.933862731908768,0.5057134750342365,-16.56827114226495,2309.0,7.5162,0.67
38,349.462,1643155200000000000,2,17.5,-107.5,9.6837,34.6357,351.85,1028.3164525683283,26.733784649800782,2304.0,2.7531732654476655,24.350480766363283,0.34036215128702674,-16.459929329512338,2310.0,7.5167,0.66
39,358.691,1643155200000000000,2,17.5,-107.5,9.4059,34.6299,361.15,1028.4018298696271,26.775270298515125,2307.0,2.7529446986592903,24.620726319798433,0.4181244991119007,-16.108264359638312,2311.0,7.5177,0.65
40,379.231,1643155200000000000,2,17.5,-107.5,9.0182,34.6098,381.85,1028.5453835270598,26.822628976257192,2310.0,2.7985587391002382,25.988158060987267,0.39862120482621693,-15.490160559790327,2313.0,7.5187,0.64
41,398.361,1643155200000000000,2,17.5,-107.5,8.7183,34.5972,401.13,1028.6726476782978,26.860542243625105,2313.0,2.848767075839977,26.908463117468358,0.34996556077632257,-15.421844535194952,2315.0,7.5189,0.63
42,448.517,1643155200000000000,2,17.5,-107.5,8.1522,34.5725,451.69,1028.974299239174,26.92898428550052,2318.0,2.9232353963548126,28.960878830534632,0.3692997971678913,-14.541587713974478,2319.0,7.5193,0.66
43,547.316,1643155200000000000,2,17.5,-107.5,7.3312,34.5457,551.32,1029.533980327985,27.029542049433303,2328.0,2.9777898306755217,32.58755965423479,0.08741819281314846,-12.069659443760413,2327.0,7.519,0.6
44,91.333,1674345600000000000,37,17.5,-106.5,13.9121,34.7868,91.9,1026.4550137300994,26.048554399126942,2277.0,1.899665339291201,20.97510335281113,1.480824760625774,-5.038717315222312,2300.0,7.5265,0.49
45,96.311,1673481600000000000,36,17.5,-106.5,14.1895,34.7859,96.91,1026.4179385233338,25.989853857719027,2275.0,2.023964381108485,21.989093480254787,0.4968736231692487,-6.997462994311723,2299.0,7.5277,0.52
46,96.182,1674345600000000000,37,17.5,-106.5,13.6547,34.8131,96.78,1026.5510515419724,26.12257085393776,2279.0,2.023701933363698,21.10952004525221,2.6399076752484305,-5.729803213318524,2302.0,7.5313,0.48
47,101.259,1672617600000000000,35,17.5,-106.5,14.1327,34.759,101.89,1026.431518817656,25.981331018041374,2275.0,2.1300714937689227,21.511420484665063,0.4384121022689891,-9.231311313368712,2297.0,7.5219,0.49
