,Station,cast,lat,lon,T,S,P,rho,sigma0,DIC,DIP,NO3,NO2,NH4,Nstar,TA,pH,pH_tot,pH_temp,O2,fluor
45,3.0,2.0,14.00022,-103.99979,5.9204,34.5552,749.861,1030.6522956549322,27.22779246087839,2332.69720115338,3.163565842472683,42.79347989320993,0.01865883293626172,0.003765365891446388,-4.901149387525292,2342.78,7.5649862650115915,7.3485865,25.0,0.73,0.0512
46,3.0,2.0,13.99983,-104.0002,6.9942,34.5592,599.029,1029.811922417853,27.087425114867074,2325.858828834575,3.1023674162743533,36.58978952149948,0.08464220514688506,0.003061153140078803,-10.060385780603204,2339.33,7.567714826453847,7.358721,25.0,0.696,0.042
47,3.0,2.0,13.99939,-104.00065,8.7427,34.6027,450.773,1028.8968762223362,26.86184827760917,2295.815293788709,3.301956513342408,29.19867956476143,0.193407775452317,0.0013843923846185333,-20.53783248088016,2315.16,7.567639912184454,7.374889,25.0,0.667,0.0568
48,3.0,2.0,13.9993,-104.00081,10.2525,34.6743,350.297,1028.2385228581566,26.66722928582044,2287.9288648699167,4.043986604821664,25.848098913977747,1.0412488446979673,0.001242953820138389,-34.91319496465078,2311.9,7.563051351110865,7.385814,25.0,0.625,0.0538
49,3.0,2.0,13.99932,-104.00086,10.7401,34.7041,318.822,1028.0316093984197,26.604403161628852,2280.9319140463963,2.580643443008979,23.54317227187509,1.8019141941403884,0.0022236183976265915,-13.042985003730562,2305.5,7.564227205675537,7.391833,25.0,0.63,0.06
50,3.0,2.0,13.99925,-104.00096,11.0148,34.7179,291.116,1027.867144892006,26.565293705163185,2279.0179372196876,2.6023565986059793,22.99698712666172,2.0279353916103666,0.000926746228570311,-13.711856313195012,2305.01,7.566054168668435,7.395919,25.0,0.603,0.0619
51,3.0,2.0,13.99929,-104.00099,11.3744,34.7359,257.546,1027.6631592304004,26.512984244086738,2279.26377394055,2.7573305324305295,25.423003106937816,1.58085061764462,0.001849084481556247,-14.211585709824478,2308.68,7.573004794113622,7.405559,25.0,0.628,0.0623
52,3.0,2.0,13.99929,-104.00102,11.6726,34.7555,235.19,1027.5214980833514,26.472393161938953,2271.7760406052244,2.6405199590090804,23.254920221690263,1.5932744463777617,0.001572524762755794,-14.498552151314504,2303.38,7.577154564274749,7.412303,25.0,0.616,0.0549
53,3.0,2.0,13.99936,-104.00102,11.8693,34.7645,220.841,1027.4264172128705,26.442071533582748,2269.854330048722,2.5208990839714556,25.10402082999594,1.4825415382369038,0.2148800452288335,-10.63294293008161,2303.08,7.580617080271468,7.417443,25.0,0.649,0.0567
54,3.0,2.0,13.99938,-104.00104,12.1675,34.7838,204.172,1027.3088182927825,26.399873612123884,2266.8493353307013,2.6037709395361794,23.654078144080042,1.4674507384305895,0.004307043725520687,-13.634499106342718,2302.39,7.5842507831738315,7.423956,25.0,0.6,0.0564
55,3.0,2.0,13.99937,-104.00105,12.3379,34.79,190.087,1027.2171517775132,26.371446094469775,2269.7187712716327,3.0995471994315067,22.423044880182093,1.7524699825007413,0.0011571029532978828,-22.516083225267977,2305.63,7.581938351690974,7.42346,25.0,0.627,0.0591
56,3.0,2.0,13.99933,-104.00105,12.6638,34.8007,174.311,1027.0901906140264,26.315691771755837,2263.9028266862188,2.268592653588702,22.72158053816905,1.6712798931258317,0.007620056224391632,-8.99700196989996,2301.53,7.586315945362269,7.431083,25.0,0.589,0.0608
57,3.0,2.0,13.99946,-104.00102,12.886,34.8011,160.113,1026.9824137205146,26.27159763424993,2269.2884362079117,3.1162446057921933,22.638192445549553,1.8261442795362033,0.0029994233190815817,-22.492577544270254,2308.63,7.586465420953907,7.43352,25.0,0.618,0.0552
58,3.0,2.0,13.99937,-104.00105,13.1932,34.804,145.854,1026.8585319734545,26.211803334926117,2269.047206188697,2.47698575587796,22.452022489107584,1.555626191204783,0.0037340898289377248,-12.720389323906057,2308.76,7.586073749862499,7.436564,25.0,0.582,0.0628
59,3.0,2.0,13.99944,-104.00103,13.5838,34.7974,131.568,1026.709057390561,26.1265776256364,2265.7082893942948,2.5093327671112116,22.905343654774118,1.2728593145184175,0.0016971857679221247,-13.069424118718926,2307.01,7.586329714478352,7.441272,25.0,0.633,0.0667
60,3.0,2.0,13.99945,-104.00102,14.202,34.7755,119.767,1026.5091620086432,25.980257700459106,2261.3874765885703,2.4831608965011243,22.792546153429267,0.19793029182752608,0.006585344047755398,-13.833512554713439,2304.03,7.582926495346725,7.44558,25.0,0.662,0.084
61,3.0,2.0,13.99946,-104.00102,14.6705,34.7461,109.512,1026.3397526353388,25.857023915504897,2255.830958556838,2.344913180864679,21.864802848548777,0.02668019330800415,0.011538861249007644,-12.715588990729072,2298.72,7.578514616829701,7.447083,25.0,0.699,0.0783
62,3.0,2.0,13.99938,-104.00102,15.5172,34.7308,99.491,1026.0957940142657,25.65872859863589,2254.2051429348826,2.420150224264027,24.920797236641327,0.024853110351649537,0.004067982759845487,-10.872685258471607,2300.56,7.578207654099787,7.4572765,25.0,1.042,0.0611
63,3.0,2.0,13.9994,-104.00092,17.1602,34.5485,81.785,1025.4952831856456,25.138205107153908,2217.259143964063,2.1546986273168356,20.030761728312484,0.05951932690552463,0.004414293341201556,-11.48048268851016,2286.81,7.631146609607838,7.528362,25.0,24.89,0.0584
64,3.0,2.0,13.99938,-104.00088,19.403,34.3548,68.786,1024.7310513215452,24.43315663301678,2143.788961457489,1.3230539781648312,0.10964973087825623,0.4226576011739265,0.11952429551348447,-17.617032023071634,2288.98,7.8126229773903315,7.734625,25.0,110.02,0.0619
